seg_count,atl07_dt,h_surf,w_gauss,fpb_corr,atl07_h,atl07_w,atl07_fpb
32440,38060912.42389372,-0.06878429760332594,0.03599999919533729,0.04599605349,-0.031350527,0.055999998,0.05225066
32441,38060912.424357116,-0.05682253473360177,0.039999998174607754,0.04558444851,-0.0597411,0.038999997,0.048504014
32442,38060912.42497479,-0.03382525454478458,0.053999998793005946,0.03048665832,-0.04209701,0.053,0.038749564
32443,38060912.42567186,-0.02424399702806035,0.06199999898672104,0.029679182534999998,-0.02560912,0.063,0.027645607
32444,38060912.426516086,-0.03352117289336576,0.06999999843537807,0.03129264873,-0.034168925,0.067999996,0.03018571
32445,38060912.427028745,-0.03030865828316376,0.06299999915063381,0.036063823875,-0.030281166,0.062,0.036038876
32446,38060912.42782663,-0.008243908481454731,0.06899999845772982,0.021203714729999996,-0.010913253,0.077,0.024572723
32447,38060912.42898477,-0.028571892500363738,0.1249999962747097,0.023927665844999998,-0.022476213,0.128,0.023057785
32448,38060912.42977251,-0.02594939908213778,0.12899999879300594,0.024343369065,-0.03213645,0.122999996,0.025222646
32449,38060912.430809446,-0.03554671478321492,0.08499999716877937,0.022701283515,-0.03553057,0.084,0.022685578
32450,38060912.431781396,-0.0042875011602632185,0.12099999710917472,0.025204670909999997,-0.0040822714,0.122999996,0.025187233
32451,38060912.43260394,0.010300063926605318,0.11899999752640725,0.03107248896,0.019339703,0.11,0.029215649
32452,38060912.43328365,0.020009268125265933,0.1179999977350235,0.0329301435,0.02003389,0.116,0.032907363
32453,38060912.43407885,0.03595995430699794,0.10299999825656414,0.025482182085,0.041169535,0.109,0.023703849
32454,38060912.43529844,0.07427117078006606,0.0949999950826168,0.01936699377,0.07845668,0.088,0.020581644
32455,38060912.436490715,0.10807980020025809,0.10399999842047691,0.019904717984999997,0.10832526,0.099,0.019508965
32456,38060912.437465414,0.1712522984124627,0.1309999991208315,0.01773079926,0.1722647,0.13,0.017718533
32457,38060912.43845527,0.23053659594454867,0.11099999584257603,0.01954411545,0.23055807,0.11,0.019530594
32458,38060912.439443335,0.2675768373111822,0.13499999977648258,0.023073746865,0.26722565,0.129,0.023482397
32459,38060912.440358974,0.38772007777252426,0.20899999290704727,0.021293908815,0.3877385,0.20799999,0.021279177
32460,38060912.441523865,0.3889157065634974,0.1899999901652336,0.021008253705,0.39851967,0.182,0.02099372
32461,38060912.44254976,0.25781902534577483,0.2149999961256981,0.02234165544,0.25882432,0.214,0.0223262
32462,38060912.44362605,0.15638127765766097,0.14199999272823333,0.02142537915,0.15558925,0.137,0.021410557
32463,38060912.44463815,0.1344107538928938,0.12799999862909317,0.02150191362,0.1368094,0.126,0.02167608
32464,38060912.445847854,0.12442072653656933,0.11099999584257603,0.021271286294999997,0.12554473,0.11,0.02167608
32465,38060912.446888775,0.12224508522451227,0.13199999928474426,0.01936699377,0.12535404,0.133,0.020173239
32466,38060912.448118925,0.20926705362952802,0.16499999538064003,0.019381286699999997,0.20631774,0.153,0.01936788
32467,38060912.44922971,0.22019652764958586,0.11999999731779099,0.018976712565,0.21296957,0.116,0.018577075
32468,38060912.45056375,0.11481733184765908,0.115999998152256,0.017079241829999998,0.11482829,0.114999995,0.017067427
32469,38060912.45174623,0.04357637875961551,0.10399999842047691,0.020560513425,0.04870874,0.103999995,0.019747239
32470,38060912.45263173,0.03361443040935619,0.09999999776482582,0.021237222645,0.03270305,0.096999995,0.021623809
32471,38060912.45347666,0.03111180325851226,0.08199999779462815,0.022456223909999996,0.030328928,0.08,0.020064188
32472,38060912.454519115,0.026300124612060216,0.08199999779462815,0.02179127394,0.027318547,0.081999995,0.0217762
32473,38060912.45564071,0.04654988488471279,0.09199999570846558,0.019631726385,0.047872435,0.091,0.020021956
32474,38060912.4569391,0.09736326795529404,0.09599999710917473,0.017079241829999998,0.09737279,0.095,0.017067427
32475,38060912.45805702,0.10924238133725073,0.0879999965429306,0.017459702310000002,0.1092538,0.087,0.017447624
32476,38060912.45920576,0.11451493340171659,0.07699999883770943,0.018183891599999998,0.11676794,0.081,0.015333699
32477,38060912.46023447,0.12445058228524619,0.10499999858438969,0.017827390859999997,0.1283688,0.103999995,0.017815057
32478,38060912.461633615,0.09276043066160788,0.10499999858438969,0.01598351373,0.09276494,0.103999995,0.015972456
32479,38060912.46283946,0.0539711053591887,0.08899999633431435,0.01639698156,0.05603146,0.08499999,0.016736273
32480,38060912.46384079,0.03336702764677568,0.08699999675154686,0.01929733611,0.033384543,0.085999995,0.019283986
